AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
178,Gandharvakottai(SC),N. SUBRAMANIAN,TVK,6499,C. UTHAYAKUMAR,BJP,5631,M. CHINNADURAI,CPIM,5371,868,19391,11.67
179,Viralimalai,VIJAYABASKAR. C,ADMK,14957,MURUGESAN. P,TVK,8481,CHELLAPANDIYAN. K.K,DMK,5577,6476,31042,15.36
180,Pudukkottai,K.M. SHARIFF,TVK,14123,V. MUTHURAJA,DMK,13635,N. RAMACHANDRAN,BJP,7682,488,38994,20.73
181,Thirumayam,REGUPATHY.S,DMK,3563,VAIRAMUTHU.PK,ADMK,2791,CHINTHAMANI.C,TVK,2549,772,9615,5.3
182,Alangudi,SIVA.V.MEYYANATHAN,DMK,10214,DHANA VIMAL,ADMK,8426,KANDASAMY,TVK,8244,1788,29011,16.22
183,Aranthangi,MOHAMED FARVAS. J,TVK,11616,RAMACHANDRAN . T,INC,9452,KAVITHA SRIKANTH,BJP,4075,2164,26559,14.67
184,Karaikudi,DR.PRABHU. TK,TVK,11073,MANGUDI. S,INC,5613,SEEMAN,NTK,2848,5460,22210,9.78
185,Tiruppattur,PERIAKARUPPAN. KR,DMK,10533,SEENIVASA SETHUPATHY. R,TVK,8861,THIRUMARAN. K.C,BJP,4175,1672,26025,12.18
186,Sivaganga,KULANTHAI RANI A,TVK,10849,SENTHILNATHAN PR,ADMK,8652,KARUNAAS S,DMK,7011,2197,30294,14.33
187,Manamadurai(SC),ELANGOVAN.D,TVK,6827,TAMILARASI.A,DMK,4861,BALAGANAPATHY.V,BJP,2970,1966,16876,8.22
188,Melur,P.PERIYAPULLAN (A) SELVAM,ADMK,17934,A.MADURAIVEERAN,TVK,15712,P.VISWANATHAN,INC,15664,2222,53377,28.24
189,Madurai East,MOORTHY P,DMK,24182,KARTHIKEYAN S,TVK,23492,MAHENDRAN K,ADMK,6588,690,58409,21.77
190,Sholavandan(SC),KARUPPAIAH.M.V,TVK,6887,VENKATESAN.A,DMK,5939,MANICKAM.K,ADMK,4950,948,18972,10.14
191,Madurai North,A.KALLANAI,TVK,13970,G.THALAPATHI,DMK,7899,P.SARAVANAN,ADMK,4050,6071,27453,17.19
192,Madurai South,M.M.GOPISON,TVK,16333,M.BOOMINATHAN,DMK,10034,RAAMA SREENIVASAN,BJP,7216,6299,35398,25.16
193,Madurai Central,MADHAR BADHURUDEEN,TVK,13112,PALANIVEL THIAGA RAJAN,DMK,7196,SUNDAR C,ADMK,6032,5916,27905,18.92
194,Madurai West,THANGAPANDI SR,TVK,12544,BALAJI R,DMK,11874,SELLUR K RAJU,ADMK,6276,670,32646,15.24
195,Thiruparankundram,NIRMALKUMAR. R.,TVK,18900,KIRUTHIGA THANGAPANDI,DMK,15938,RAJANCHELLAPPA. V.V.,ADMK,9411,2962,48031,18.97
196,Thirumangalam,MANIMARAN.M,DMK,14279,SATHISHKUMAR.N,TVK,10480,UDHAYAKUMAR.R.B,ADMK,9746,3799,37926,16.69
197,Usilampatti,VIJAY. M,TVK,8032,SARAVANAKUMAR. T,INC,7759,MAHENDRAN. I,ADMK,7583,273,26973,12.21
198,Andipatti,LOGIRAJAN.A,ADMK,18655,MAHARAJAN.A,DMK,16619,PANDI.V,TVK,15592,2036,54450,25.37
199,Periyakulam,SABARI IYNGARAN G.,TVK,7075,SAKTHIVEL P.,VCK,5494,DR KATHIRKAMU K.,OTH,3505,1581,17079,8.18
200,Bodinayakanur,PANNEERSELVAM.O,DMK,14088,PRAKASH.S,TVK,11484,NARAYANASAMY V.T.,ADMK,5798,2604,33737,15.48
201,Cumbum,JEGANATHMISHRA PLA,TVK,10389,ERAMAKRISHNAN N,DMK,10147,JAKKAIYAN S.T.K.,ADMK,2346,242,24740,11.91
202,Rajapalayam,JEGADESHWARI. K,TVK,10254,THANGAPANDIAN. S,DMK,7655,PRISCILLA PANDIAN. J,BJP,5192,2599,26496,14.66
203,Srivilliputhur(SC),MAHALINGAM.P,CPI,2893,CHANDRAPRABHA.M,ADMK,2437,KARTHIK.A,TVK,1932,456,9074,4.77
204,Sattur,KADARKARAIRAJ. A,DMK,3305,AJITH. M,TVK,2684,NAINAR NAGENTHRAN,BJP,2396,621,10164,5.17
205,Sivakasi,RAJENTHRABHALAJI K T,ADMK,4295,ASHOKAN G,INC,2616,KEERTHANA S,TVK,1770,1679,9680,5.04
206,Virudhunagar,VIJAYAPRABHAKAR,OTH,11609,SELVAM P,TVK,10397,GANESAN V.G.,ADMK,8254,1212,34321,20.67
207,Aruppukkottai,KARTHIK KUMAR. K,TVK,10808,RAMACHANDRAN. K.K.S.S.R,DMK,9719,SETHUPATHY. S,ADMK,6048,1089,28716,16.31
208,Tiruchuli,SAMAYAN.S,TVK,3726,THANGAM THENARASU,DMK,3369,RAJAVARMAN.M.S.R,ADMK,948,357,8884,4.96
209,Paramakudi (SC),GOPIRAJAN. G,TVK,13174,ADVOCATE. KATHIRAVAN. K.K,DMK,12572,DR. MUTHIAH. S,ADMK,9069,602,38379,20.55
210,Tiruvadanai,RM. KARUMANICKAM,INC,10404,RAJEEV,TVK,8353,M.KEERTHIKA,ADMK,8129,2051,29502,13.52
211,Ramanathapuram,KATHARBATCHA MUTHURAMALINGAM,DMK,27087,SHAHUL HAMEED,TVK,17868,GBS K.NAGENDRAN,BJP,12080,9219,60853,25.88
212,Mudhukulathur,R.S.RAJAKANNAPPAN,DMK,15843,MALARVIZHI. B,TVK,12830,S.PANDI,ADMK,12338,3013,55921,24.49
213,Vilathikulam,MARKANDAYAN G V,DMK,11459,R. SATHYA,ADMK,9694,P. KASIRAM,TVK,9539,1765,33598,19.47
214,Thoothukkudi,SRINATH,TVK,18451,P. GEETHA JEEVAN,DMK,11667,CHELLAPANDIAN S.T.,ADMK,5580,6784,38933,19.2
215,Tiruchendur,J. MURUGAN,TVK,16017,ANITHA R. RADHAKRISHNAN,DMK,15583,K R M RADHAKRISHNAN,BJP,6013,434,40686,22.15
216,Srivaikuntam,SARAVANAN. G,TVK,23617,SHANMUGANATHAN. S. P,ADMK,23189,OORVASI AMIRTHARAJ. S,INC,15641,428,70025,40.37
217,Ottapidaram(SC),P .MATHANRAJA,TVK,6811,DR.K. KRISHNASAMY,OTH,6335,P.M.RAMAJEYAM,DMK,4713,476,24395,12.63
218,Kovilpatti,KARUNANITHI.K,DMK,8517,BALASUBRAMANIAN.S,TVK,8029,KADAMBUR RAJU.C,ADMK,7719,488,26551,13.84
219,Sankarankovil(SC),C. RAMARAJAN,TVK,14340,DR. DHILIPAN JAISHANKAR,ADMK,11502,SANGAI. GANESAN,INC,9210,2838,38670,20.04
220,Vasudevanallur(SC),E. RAJA,DMK,15381,ANANTHAN AYYASAMY,BJP,14006,R. AMUTHARANI,TVK,12928,1375,49472,26.62
221,Kadayanallur,C. KRISHNAMURALI,ADMK,16075,RAJENDRAN. T. M,DMK,12838,ABDUL JALEEL. R. K,TVK,11384,3237,43322,19.77
222,Tenkasi,DR.KALAI KATHIRAVAN,DMK,13898,A. RAJAPRAKASH,TVK,12317,S.SELVA MOHANDAS PANDIAN,ADMK,12271,1581,42302,18.24
223,Alangulam,K R P PRABAKARAN,ADMK,15066,PAUL MANOJ PANDIAN,DMK,14641,VIBIN CHAKKARAVARTHY,TVK,13051,425,49992,22.96
224,Tirunelveli,MURUGHAN.R.S.,TVK,15849,SUBRAMANIAN.S,DMK,12009,THACHAI GANESARAJA,ADMK,11794,3840,48329,22.4
225,Ambasamudram,DR.ESAKKI SUBAYA,ADMK,13942,S.RAJAGOPAL,TVK,12375,V.P.DURAI,INC,11182,1567,41153,21.81
226,Palayamkottai,MARIA JOHN,TVK,18403,M.ABDUL WAHAB,DMK,13652,SYED SULTHAN SAMSUDEEN,ADMK,5473,4751,41106,23.18
227,Nanguneri,REDDIARPATTI V. NARAYANAN,TVK,24971,RUBY.R.MANOHARAN,INC,20209,R. ESAKKIMUTHU,OTH,11061,4762,66582,32.27
228,Radhapuram,DR.SATHISH CHRISTOPHER,TVK,22729,APPAVU.M,DMK,20906,BALAKRISHNAN.S.P,BJP,15877,1823,66561,33.69
229,Kanniyakumari,MAHESH.R,DMK,13962,THALAVAI SUNDARAM. N,ADMK,11310,MADHAVAN.S.R,TVK,9956,2652,37765,16.07
230,Nagercoil,GANDHI M R,BJP,17022,AUSTIN,DMK,16659,BERVIN KINGS G,TVK,15387,363,52767,27.3
231,Colachel,THARAHAI CUTHBERT,INC,7270,PREM ALEX LAWRENCE,TVK,5133,SIVAKUMAR. T,BJP,3400,2137,17196,8.77
232,Padmanabhapuram,CHELLASWAMY. R,CPIM,10344,KRISHNA KUMAR. S,TVK,9522,RAMESH. P,BJP,9187,822,31136,17.52
233,Vilavancode,PRAVEEN T.T,INC,11526,MICHAEL KUMAR K,TVK,6512,VIJAYADHARANI S,BJP,4829,5014,23921,13.94
234,Killiyoor,SABIN. S,TVK,10992,RAJESH KUMAR. S,INC,9301,NIVIN SIMON. J,BJP,2322,1691,24422,13.97
